CLIENTNUM,Total_Relationship_Count,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1
780202908,3,1480,0.513,2833,70,0.556
787504158,4,2230,0.686,1755,42,0.448
716183283,5,890,1.024,3563,70,0.892
824168808,4,1480,0.76,2271,60,0.364
712936908,3,1786,0.806,2969,88,0.796
719855958,6,0,0.706,3367,66,0.737
710112933,6,1716,1.025,2580,61,0.649
768364233,6,1885,0.643,1505,33,0.32
771725808,5,769,0.901,3395,71,0.578
780686358,3,1676,0.534,3798,58,0.812
712762758,4,1280,0.681,3179,79,0.975
714392808,3,1019,0.875,3504,62,0.771
713089458,5,808,0.747,3411,78,0.592
826780683,6,0,0.784,3943,85,0.771
780251658,4,1586,0.828,2395,57,0.781
772273983,1,2191,0.622,2138,40,0.429
737944908,4,1463,0.635,1599,36,0.565
720688158,3,0,0.741,2751,68,0.659
719902908,3,0,0.407,1434,31,0.292
771682533,4,0,0.773,3928,75,0.744
708193008,3,0,0.703,1616,43,0.654
772449858,5,1388,0.909,3849,70,0.591
715992558,4,1628,0.542,1968,59,0.735
708502908,5,0,0.74,3925,88,0.833
720132258,6,1323,0.934,3422,78,0.529
708704433,6,2090,1.248,2812,77,1.081
720906033,5,1176,1.12,2987,52,0.857
719961183,5,1278,0.375,1550,33,0.65
718838808,6,2354,1.248,2720,48,1.182
710268858,5,1217,0.775,3162,99,0.707
788360283,4,0,0.865,2557,55,0.618
717914808,4,703,1.026,4044,66,0.65
802884933,6,1348,0.756,1665,32,0.524
714436383,4,0,0.581,4222,75,0.471
718785483,6,1435,1.13,4238,85,0.809
708816408,4,0,0.817,3063,71,0.511
715363908,4,1551,0.544,3658,70,0.628
709163358,2,2517,0.465,1727,35,0.458
827643858,6,0,0.833,3212,64,0.422
711251133,5,0,1.159,2990,55,0.964
716896833,3,1319,0.693,1976,35,0.75
789193383,3,1691,0.755,3495,70,0.628
712801758,6,2517,0.714,3052,63,0.75
719836083,3,1752,0.294,1543,34,0.172
718291233,5,917,0.479,4314,67,0.634
718682883,3,2449,1.0,4478,76,0.727
771503958,5,1265,0.579,4089,72,0.674
771960708,3,2461,0.797,3591,80,0.739
717427983,4,2422,1.003,2682,64,0.641
712737108,4,0,0.702,4221,75,0.923
771599283,3,1668,0.651,1606,32,0.882
717237708,3,1878,0.847,3982,58,0.871
710703708,6,968,0.455,2961,56,0.647
712513458,4,1899,0.999,3150,70,0.489
709690158,6,2517,0.572,1470,33,0.737
709959858,6,0,0.613,3825,63,0.537
720683958,6,0,0.742,4077,67,0.763
780704358,4,0,0.777,4014,73,0.659
717843783,4,1583,0.621,2338,71,0.69
718318383,6,1499,0.67,4251,69,0.533
708849858,4,1435,0.57,3683,73,0.738
712652283,4,774,0.989,3030,74,0.805
793461933,4,1006,0.734,2835,57,0.9
720084183,5,0,0.889,3018,75,0.5
767114958,4,2073,1.035,3250,70,0.591
709216533,6,778,0.55,3142,64,0.561
720897783,6,2010,0.594,2776,59,0.735
773503308,5,1569,0.706,4010,79,0.717
719963433,3,1945,1.487,3676,77,1.139
708139833,4,0,0.632,2323,44,0.419
710664558,5,945,0.835,3927,73,0.659
713687508,5,1606,0.62,3159,69,0.568
816312633,6,0,0.563,2349,66,0.347
712019883,5,1528,0.777,3337,69,0.769
718216008,5,2157,0.629,3275,60,0.5
718345233,6,2517,0.636,1904,41,0.519
771228183,4,0,1.177,3294,87,0.891
789430083,6,1425,0.8,4470,83,0.844
779524833,4,1563,0.893,3640,59,0.735
823621083,3,938,0.735,3948,74,0.721
715563558,3,1057,1.197,2533,62,1.138
715424283,5,0,1.369,3059,50,0.613
807209808,6,1630,0.846,3739,68,0.659
716578158,6,1592,1.319,3205,49,0.633
708911508,3,0,0.936,3446,71,0.578
717332733,5,0,1.06,2851,80,0.739
710681808,6,1548,0.833,2484,52,0.857
708740808,5,0,0.777,2949,54,1.25
711728208,4,0,0.991,4143,68,0.659
720562008,4,1263,0.603,2759,65,0.806
709012083,3,2514,0.58,2010,45,0.731
771073908,4,0,0.425,1406,27,0.5
718174908,4,2417,0.522,1458,29,1.071
709550958,3,0,0.612,2689,62,0.59
720411183,6,1857,1.193,3042,66,0.941
720776508,4,0,1.224,4248,65,0.857
755615208,5,1822,0.947,4084,66,0.571
708147108,6,2517,0.763,2309,71,0.543
827476983,3,2178,0.451,1865,42,0.5
716682258,4,1591,0.711,3650,62,0.676
708563433,3,477,1.015,1616,32,0.455
772277508,4,0,1.299,3292,52,0.857
712515558,3,1515,0.622,2834,77,0.638
719342808,4,688,0.747,3750,76,0.727
788957358,3,2227,0.801,4224,77,0.791
778386033,6,1749,0.57,2068,34,0.619
820060758,4,1965,0.8,3651,59,0.553
713271708,5,0,0.674,4454,74,0.574
720555483,3,0,0.631,4100,79,0.681
709405758,4,1217,0.363,1965,49,0.256
769463433,6,0,0.682,3593,71,0.578
786087633,4,2501,0.505,1650,34,0.7
738627708,5,0,0.551,1838,42,0.556
719527833,6,1097,1.095,3886,70,0.667
715921758,5,0,0.579,2882,68,0.619
717280158,3,1817,0.739,3332,60,0.667
714179658,3,0,0.852,1996,48,0.548
806637558,5,0,0.425,1539,40,0.6
714828708,3,0,0.562,3656,88,0.76
711989358,4,1187,0.875,3811,62,0.824
720188508,3,1749,0.671,4071,64,0.73
719528958,3,1508,0.789,4134,71,0.821
713110908,3,1966,0.65,1719,45,0.607
721179708,4,0,0.433,4422,76,0.407
716363658,4,582,0.769,3920,84,0.647
711443808,6,1657,0.813,4068,53,0.963
778952058,4,1496,0.816,3435,56,0.697
713642133,6,1049,1.122,4558,60,1.609
778908783,3,1018,0.426,1427,25,0.667
778170633,6,657,0.723,3661,71,0.868
714670533,3,2517,0.509,3069,62,0.771
771833433,3,0,0.519,2063,48,0.846
772758783,5,735,0.624,3343,60,0.667
788959758,3,561,0.774,3451,59,0.967
716878533,4,1889,0.475,1425,33,0.5
713267133,3,851,0.679,3088,65,0.711
716263533,3,1464,1.25,3166,72,0.946
719026383,3,0,1.071,3135,59,0.903
821755233,5,1123,0.539,3441,69,0.468
709683633,4,948,0.843,2914,67,0.763
714318033,5,1638,1.053,3321,57,1.036
828291858,6,1821,0.63,2381,40,0.481
779647608,5,0,0.735,4199,92,0.586
787605558,6,0,0.673,3489,81,0.528
771534408,4,2379,0.912,3897,74,1.0
716219808,5,0,0.723,1742,41,0.323
715690908,4,1260,1.138,3418,78,0.733
789125733,4,1402,0.579,2114,53,0.514
717271983,6,1388,0.791,3261,64,0.684
709695333,3,1695,0.875,3577,82,0.783
712233183,3,1622,0.708,3244,62,0.879
716645883,3,0,0.659,4297,68,0.744
711762408,4,0,0.697,4023,63,0.75
818305008,6,1375,0.94,3978,89,0.78
788159433,5,818,0.987,3855,70,0.591
709104333,5,891,0.926,2687,64,0.778
708112008,4,1049,0.438,1661,35,0.296
714731208,6,1433,0.985,4050,58,0.611
710006958,6,796,0.864,4755,69,0.533
815062383,3,1193,0.445,1914,33,0.5
778447908,3,0,0.57,4136,65,0.912
720725058,1,0,0.45,1375,33,0.65
803415183,3,657,0.641,4614,76,0.689
708582858,3,0,0.571,2958,63,0.432
779833908,6,1376,0.6,4095,67,0.675
818687958,5,1436,0.845,4462,88,0.66
708714108,5,2517,0.734,1894,49,0.633
754872333,3,0,0.82,4740,88,0.796
718637208,3,1387,0.56,1689,36,0.714
816772908,6,1793,0.767,4533,78,0.472
711935283,3,0,0.414,1427,36,0.333
716950758,1,0,0.559,1657,43,0.654
716497908,3,0,0.873,3698,65,0.625
809358708,6,2135,0.488,3514,63,0.703
716037708,6,1021,0.557,3240,54,0.588
717804783,5,824,1.262,4160,70,0.842
715338783,4,0,0.812,3018,80,0.778
779645658,3,1472,1.002,3607,59,0.735
787565433,4,1397,0.396,1494,36,0.286
717287883,6,2517,0.473,1532,24,0.5
715746633,3,689,0.985,4256,70,1.121
720635883,6,1500,0.688,2902,60,0.818
710077008,5,1368,0.721,3522,74,0.897
804437658,4,2154,0.5,3413,66,0.692
780000258,4,0,0.725,4172,84,0.787
825785508,3,1049,0.534,4890,64,0.561
720252858,6,0,0.826,3396,63,0.8
710017758,5,0,0.665,3784,67,0.457
711750183,4,1345,0.729,3640,56,0.867
718364283,3,0,1.037,3602,72,1.0
711638658,4,1929,0.777,2878,63,1.032
711046383,5,1316,0.818,3542,60,0.714
720877083,6,1354,0.893,3323,66,0.833
715662258,3,2060,0.804,3777,75,0.596
715570533,2,0,0.464,1632,44,0.333
758202858,4,1681,0.65,3453,72,0.5
712872183,4,1367,0.704,2464,92,1.0
710014683,3,724,0.722,2807,65,0.806
716934333,3,2458,0.516,3556,68,0.581
778523733,6,0,0.566,3625,73,0.659
716353083,4,1028,0.553,4444,72,0.565
753642933,3,1365,0.648,4293,83,0.976
708151008,5,644,1.06,2433,41,1.158
789646158,5,881,0.846,3297,66,0.692
712423233,4,1368,0.942,3752,71,0.919
719806233,3,0,0.531,2686,59,0.788
786509358,3,1782,1.526,2051,36,1.0
711502908,6,0,0.476,3550,68,0.619
748617858,4,1704,0.903,2968,65,0.806
721532583,5,2165,0.641,1995,39,0.696
789244308,6,1899,0.851,3986,64,0.73
709330383,4,2049,0.683,3283,74,0.609
719136183,6,1444,0.664,3410,69,0.683
716939358,6,0,0.959,4632,67,0.457
778155558,3,0,0.779,3560,71,0.511
713461533,4,1310,1.092,3042,73,1.028
803776533,3,0,0.639,2118,52,0.576
714857508,5,1775,0.729,3939,69,0.533
720348933,4,758,0.778,3060,60,1.069
721158108,3,0,0.394,3982,72,0.532
789043008,4,0,0.496,2058,70,0.842
713362158,4,0,0.761,3519,70,0.591
712623258,2,2517,0.729,2272,42,0.448
708494583,4,0,0.693,3731,53,0.893
718394658,3,2464,0.764,2366,62,0.722
719398158,6,1886,0.921,3912,76,0.949
711885258,5,988,0.884,2078,42,0.68
789161358,3,2517,1.275,2666,46,1.0
787581858,3,1466,0.689,3612,59,0.595
779198133,3,2088,0.65,3530,61,0.743
708314808,5,1393,0.436,1570,40,0.6
720508233,3,0,0.552,1898,42,0.556
717134058,5,1131,0.624,4028,81,0.8
783366483,4,1063,0.686,3242,74,0.451
715412583,6,1445,0.75,3815,65,0.806
719562108,6,1650,0.783,2671,67,0.763
754457883,4,0,0.998,1876,35,1.059
742552683,6,688,0.976,4208,86,0.72
711455133,5,1839,1.113,2481,42,0.68
716387733,1,1484,0.434,1693,25,0.25
772571508,4,0,0.696,2311,43,0.654
718815108,3,1315,0.623,3420,81,0.841
719266158,5,1359,0.737,3434,65,0.512
720708183,5,1242,0.725,4758,83,0.456
767523933,4,0,0.873,3938,69,1.091
797466033,3,1754,1.027,2880,69,0.468
771886233,6,1090,0.819,1941,51,1.318
712612233,3,719,0.556,2067,59,0.595
716516208,4,0,0.674,3748,64,0.829
709950858,4,2301,0.751,3458,71,0.651
779882508,5,0,0.74,3364,69,0.816
717472833,6,713,0.833,4253,73,0.78
712665633,6,1864,0.414,3472,51,0.457
709562358,6,1594,0.973,4456,79,0.837
715391433,5,1560,0.773,2143,41,0.783
708722583,5,1656,0.657,3024,64,0.6
720452508,4,0,0.622,3848,74,0.762
714566958,4,1420,0.857,2291,40,0.6
816084333,5,1230,0.72,3260,63,1.1
806179683,5,2044,0.91,4433,68,0.659
806244183,5,0,0.875,4544,84,0.75
787999533,4,2517,0.459,3595,68,0.659
718358808,5,0,0.972,3758,61,0.694
718474683,3,2139,1.408,3092,67,0.763
716908158,6,2517,1.049,3299,64,0.73
713984208,5,874,0.894,4029,72,0.636
713013483,5,915,0.464,3754,58,0.611
754599558,5,2002,0.828,3825,70,0.707
788739633,3,238,0.61,2136,40,0.905
712411908,4,0,0.633,4071,67,0.811
717538683,3,1132,0.942,3204,64,0.73
709447908,4,2309,1.006,3281,63,0.853
816834933,6,673,0.721,2652,64,0.524
718963158,5,0,0.759,3230,64,0.561
714358008,3,0,0.673,4659,72,0.6
720758808,5,0,0.566,1995,54,0.929
708255633,3,1710,0.627,3240,65,0.585
716101308,6,0,0.857,4251,60,0.714
715986258,3,1675,0.514,4037,68,0.447
715858008,2,2517,0.352,1224,31,0.409
806226933,6,0,0.928,3660,59,1.107
708361833,3,0,1.012,3650,80,0.633
778422933,4,985,0.966,3323,56,0.931
708957183,3,2517,0.568,2198,41,0.864
718000383,3,1147,0.629,4274,64,0.641
714466458,4,2124,0.715,3400,76,0.727
719608308,3,2517,0.59,2927,73,1.212
792995808,5,1689,0.83,3474,67,0.763
716211258,6,0,0.464,1966,43,1.15
779289033,4,1778,1.071,3328,61,0.794
719356008,4,0,1.022,4548,69,0.917
718503108,3,1994,0.437,3792,77,0.604
779661033,5,1107,0.971,3503,66,0.65
813053733,3,278,0.817,3029,49,0.4
718354683,6,1225,0.681,3646,77,0.75
720529308,5,0,0.5,1805,46,0.769
787578183,5,0,1.041,3204,68,0.838
737952333,3,0,0.631,3435,65,0.585
779498058,5,1272,0.799,2006,34,0.545
799707858,6,2000,0.769,3584,57,0.966
719543208,5,848,0.825,3789,72,0.565
797743233,3,865,0.511,4542,77,0.481
710658483,2,2174,0.653,2098,46,0.586
715399908,5,1465,0.511,4175,67,0.718
710288883,4,1654,0.695,5054,73,0.553
719912808,3,0,0.706,4288,72,0.6
720247158,6,600,0.813,3787,68,0.619
718672233,3,1239,0.713,3395,63,0.465
789593058,3,1020,1.19,3311,84,0.75
710278458,4,2517,0.457,1643,43,0.483
714467733,3,1721,0.717,4178,69,0.605
803026008,3,1448,0.836,3463,65,0.711
772000533,4,1113,0.406,1809,23,0.278
811035483,2,0,0.521,1641,35,0.591
715480983,5,892,0.589,3403,68,0.417
819997983,6,1869,0.821,1453,26,0.857
807593058,3,0,0.699,2003,29,0.318
720437358,5,2303,0.836,3596,69,0.568
719465733,6,0,1.154,4458,63,0.615
711978858,6,900,0.605,4422,70,0.628
814364808,5,1002,1.033,2624,46,1.0
788820933,3,1380,0.605,3511,73,0.622
713316558,3,0,0.703,3776,70,0.944
779856483,4,0,0.638,3368,69,0.533
717085983,6,2517,0.981,4312,84,0.787
788030208,1,2517,0.619,1904,42,0.448
709914858,4,1705,0.644,5169,84,0.474
716111808,5,2011,0.466,1723,28,0.75
708618933,6,2049,0.865,3259,80,0.6
720446508,5,1037,0.721,2681,57,0.727
756488883,6,1619,0.656,2040,65,0.711
708414033,6,1153,0.836,3730,66,0.941
756727233,3,1190,0.5,4895,66,0.784
720379533,1,0,0.809,2066,37,0.233
720340383,4,2035,0.567,4034,82,0.673
771453033,5,1280,1.314,3170,57,0.629
708747708,4,0,1.109,2512,56,0.867
712460433,4,1426,0.666,4112,80,0.481
719801508,6,798,0.592,4314,82,0.708
720983733,2,864,0.578,2136,54,0.8
713657733,5,800,0.62,3809,71,0.511
709955958,4,1023,0.75,3374,45,0.875
719099583,3,1444,0.423,1360,33,0.222
719513733,3,0,0.715,4276,69,0.769
710654808,3,0,0.672,2308,44,0.467
719651358,3,1749,0.626,4092,77,0.54
718917408,4,1136,0.499,3704,70,0.458
808753758,5,1525,0.529,4109,71,0.614
711699183,4,1079,1.312,3723,58,1.071
711196458,2,580,0.421,1893,41,0.171
772565883,3,2517,0.633,4719,70,0.667
717203958,6,988,0.569,1842,32,1.133
769701258,3,1319,0.655,3996,71,0.543
714933783,5,0,0.88,3775,62,0.676
717650133,5,1426,0.898,3571,58,0.933
708707808,4,1584,0.874,3438,66,0.784
717331758,6,2517,0.765,4228,83,0.596
801385458,5,2019,0.677,4017,80,0.6
710605458,6,1963,0.852,4127,70,0.842
719570733,3,978,0.552,3766,83,0.694
708646233,3,1289,0.559,3632,50,0.923
766006758,3,2321,0.491,1734,38,0.583
710695083,4,1421,0.635,1635,31,0.824
709224033,1,0,0.671,1830,36,0.241
795991758,5,660,0.549,4079,67,0.457
709381383,4,2517,0.809,3830,77,0.51
810321933,5,1054,0.552,1898,36,1.571
716235783,3,866,0.572,4047,75,0.667
758833758,4,845,0.604,3520,68,0.889
713579733,5,754,0.905,2597,71,0.919
804649833,3,1126,0.788,3436,74,0.574
780971583,6,797,1.108,3772,62,0.879
804673308,2,0,0.662,1866,37,0.947
788747358,5,2034,0.647,4836,68,0.744
713199558,5,813,0.756,3669,58,0.812
713777883,3,1679,0.975,3543,52,1.0
771081558,3,1190,0.832,2862,78,0.733
710229333,6,1254,0.418,3812,64,0.641
720406233,5,1829,0.673,1770,46,1.0
767784708,2,504,0.582,2356,40,0.29
712052058,3,1574,0.791,4212,75,0.531
715278708,5,927,0.985,3851,65,0.806
827049558,3,1170,0.73,4421,89,0.679
710248233,5,1421,1.125,3392,80,0.86
712146558,3,1619,0.585,3230,65,0.711
715179933,6,0,0.924,4253,91,0.685
709215708,4,2517,0.91,3737,73,0.587
710668458,5,0,0.916,3405,76,0.727
718828083,4,2284,0.839,3533,73,0.587
720781158,4,1243,0.497,3829,74,0.396
716938383,3,0,0.743,3811,61,0.743
709976358,4,0,0.797,3952,80,0.739
715688958,3,2043,0.801,4550,84,0.75
721493883,5,0,1.135,3313,69,0.769
709830783,5,1686,0.937,4039,72,0.756
715354983,6,0,0.666,3653,77,0.674
713532858,6,1386,0.756,4077,70,0.628
721295658,6,2517,0.945,3975,63,0.537
720313083,5,2289,0.637,2637,68,0.388
720724008,4,2356,0.718,3717,67,0.675
712828533,3,0,0.563,4820,74,0.644
717007458,4,1051,0.982,3256,71,0.919
710728458,3,1396,0.532,4409,75,0.531
717720108,4,980,0.656,3274,69,0.568
720648483,4,1115,0.62,1821,53,0.514
770146008,4,1502,0.648,1908,37,0.37
714829683,3,1101,0.702,3688,65,0.757
717015333,6,1953,0.809,3974,70,0.556
757837458,4,663,0.674,4065,79,0.646
719240358,4,1790,0.981,4095,67,0.914
719036883,3,0,0.896,4163,77,0.453
714000108,5,0,0.483,3658,66,0.65
720786033,5,1206,0.958,2489,38,0.9
708917133,3,0,0.43,4498,73,0.622
818929158,3,0,0.545,2220,53,0.828
709513458,3,1833,1.675,3213,52,1.476
717705858,4,0,0.937,2528,52,0.793
716573058,3,0,0.499,1598,40,0.29
827695683,4,1329,0.574,3906,77,0.51
819189108,6,0,0.78,4456,85,0.635
716977758,2,2517,0.766,1913,35,0.667
714901383,6,2191,0.582,4503,69,0.643
718500633,5,1896,1.161,3270,58,0.933
713516433,6,737,0.956,2934,80,0.633
715140933,5,1459,1.061,3704,60,0.538
712642533,6,2098,0.549,3788,76,0.689
721498008,5,0,0.978,3966,57,0.781
717189183,6,1961,0.713,2665,65,0.667
708902883,5,0,0.51,3364,61,0.564
817889583,3,0,0.826,2260,46,1.0
717242058,2,0,0.764,2134,42,0.355
715628733,6,0,0.82,3157,59,0.844
716613933,6,1482,0.705,3651,60,0.818
712709508,3,0,0.596,2645,63,0.8
716306583,3,2517,0.586,2325,45,0.731
720026058,6,1284,1.101,3526,64,0.684
756397458,6,0,1.005,3170,70,0.842
712644483,5,1217,0.741,4270,62,0.55
814489683,3,795,0.837,2596,59,1.034
789111483,5,1850,0.729,4255,75,0.562
709573533,5,0,0.58,3914,71,0.775
807137808,4,0,0.667,3494,67,0.718
711861258,3,0,0.691,4046,57,0.629
716660583,4,1746,0.661,3696,72,0.6
717222033,3,1198,0.76,4272,76,0.81
716617608,6,995,0.615,1936,58,0.657
716786808,3,0,0.585,3838,66,0.692
718882008,6,889,0.528,4960,73,0.46
770975133,5,1854,0.712,4382,74,0.542
715234008,6,1590,0.802,4216,67,0.595
709326183,6,1211,0.809,3447,74,0.85
721233033,1,464,0.242,1474,36,0.091
712319958,4,2517,0.864,3853,71,0.775
712198983,3,0,0.784,3169,67,0.489
772103208,4,0,0.882,3534,78,0.902
779502333,5,0,0.321,1480,37,0.276
718737708,3,1202,0.673,4202,66,0.61
821351958,6,0,0.785,3308,54,1.0
716142858,3,1391,0.662,3914,77,0.75
826079508,4,1886,0.945,3654,65,0.757
773236983,4,2258,0.992,1839,29,0.706
826717533,6,724,0.949,4631,76,0.767
789334458,3,1858,0.622,4197,67,0.523
814092858,5,694,0.903,4372,65,0.711
708355683,3,0,0.938,2976,65,0.512
803124408,2,0,0.507,1926,53,0.432
789964983,2,0,0.598,1724,35,0.25
720303933,6,1282,0.724,4526,82,0.547
708665133,6,1172,0.938,4003,67,0.595
828236133,4,1387,0.72,4269,92,0.614
712000758,5,1959,0.888,3997,54,0.929
715378383,4,1893,0.748,3639,76,1.0
769985883,6,0,0.635,3549,65,0.444
709297608,3,0,0.399,1585,32,0.455
716971833,5,0,0.725,4496,61,0.848
801373833,3,710,0.951,2920,46,1.421
716040783,3,0,0.41,4178,66,0.467
817977933,5,1531,0.778,2288,48,0.714
827055333,5,1042,0.702,2015,37,0.682
772116408,4,1029,0.675,2377,56,0.75
734924658,5,792,0.873,4123,67,0.489
711775383,6,0,1.077,4059,66,0.65
715019058,3,1845,0.668,2933,65,0.806
780715683,4,0,0.699,3582,69,0.683
827341383,5,1317,0.957,3607,81,0.884
708757233,4,1489,0.779,3697,77,0.833
710504283,6,1463,0.795,4014,70,0.628
713919183,5,1582,0.522,4630,74,0.644
713171358,6,0,0.749,3880,74,0.721
773140683,4,1202,0.695,4191,65,0.757
716358033,6,0,0.538,5004,65,0.806
826410708,3,1407,0.709,5554,64,0.6
789717708,5,1135,0.672,4180,82,0.783
711679533,3,968,0.949,2600,60,0.714
711342483,5,1720,1.019,3896,58,0.812
720242733,5,1549,0.778,3718,75,0.596
721213833,4,1423,0.987,3780,75,0.923
756624183,6,2024,0.929,3507,69,0.568
717622308,4,1688,0.62,4232,75,0.5
714629358,2,0,0.392,1796,41,0.519
744307008,4,0,0.619,3890,74,0.644
708871158,4,0,1.165,3516,57,0.727
710979033,3,2517,0.854,3046,73,0.78
818903583,5,1597,0.775,3628,59,0.903
712980333,6,1848,0.731,2584,66,0.833
717655458,5,1507,0.97,3819,61,0.525
822112383,5,0,0.618,3769,73,0.659
711538758,1,633,0.358,1954,46,0.394
719987733,3,0,0.564,1844,37,0.609
719184783,3,1429,0.728,3536,71,0.69
715857183,3,1296,0.911,2150,43,0.87
719657583,2,2457,0.915,2310,57,0.676
789713208,6,326,0.935,2692,29,0.526
802031583,6,0,0.741,3711,83,0.804
711529383,4,1224,0.665,3163,73,0.825
715371108,3,0,0.358,1632,42,0.448
712988958,5,1731,0.986,3253,62,0.722
713005908,5,1733,0.903,4772,83,0.729
712236483,5,1991,0.699,4487,71,0.543
711852783,3,1572,0.937,3446,56,1.0
780056733,3,2517,0.807,2627,63,1.032
796903083,2,0,0.838,2584,42,0.448
716014983,6,1902,0.81,3755,77,0.833
712521783,6,1288,0.684,3713,65,0.512
780045708,6,1204,0.824,4259,79,0.58
719488008,3,1281,0.551,1902,34,0.619
771575058,4,1795,0.645,3172,55,0.719
772137183,1,810,0.643,1822,36,0.5
779709033,6,2410,0.616,3908,75,0.63
709716258,3,1707,0.529,1807,58,0.657
737986083,4,2049,0.719,3139,54,0.636
713343333,4,1327,0.798,4065,77,0.711
779331558,6,0,0.683,2598,59,0.595
714973758,4,1002,1.306,2004,25,0.667
718009158,4,1860,0.68,3774,83,0.804
789597408,5,0,0.82,4712,76,0.689
712165308,4,947,0.845,4255,61,0.694
821768658,4,2247,1.003,2474,51,0.417
719341683,3,1067,0.487,4281,72,0.636
708637758,4,545,0.905,3523,64,0.829
779974758,6,868,0.991,3203,54,0.929
821815458,5,1519,0.557,3398,67,0.763
711708408,4,0,0.583,3967,72,0.636
812449758,2,0,0.705,2129,42,0.355
715682208,4,0,0.712,4629,76,0.652
719914908,3,1846,0.755,1701,44,1.095
714744783,3,1219,0.552,3825,67,0.675
710809833,3,0,0.834,3193,53,0.559
720942333,4,0,0.612,2043,52,1.0
709423158,4,1337,0.763,3592,46,0.917
718307433,5,2111,1.085,2025,36,1.118
772607433,6,2016,0.313,4107,59,0.639
801709308,6,968,0.992,4558,56,0.75
778502958,4,2031,0.767,2385,50,0.515
806656083,3,1514,0.716,4064,70,0.556
823635033,6,1535,1.323,4200,83,0.804
718739508,6,1217,0.66,3863,67,0.811
709272333,6,2023,0.445,4579,73,0.622
721538883,4,0,0.716,4449,81,0.723
718835583,6,2379,0.816,3769,76,0.617
827970933,4,1698,0.575,4439,70,0.628
719888358,5,1422,1.357,2748,58,0.933
717030633,5,1405,0.624,3034,51,0.889
815085708,1,2517,0.266,1861,46,0.278
716332533,6,1819,0.894,4712,84,0.909
822964683,6,1491,0.869,4351,62,0.632
719335233,5,938,0.445,3610,75,0.531
779683683,6,1985,1.356,2344,34,0.7
712653183,4,1694,1.054,3675,81,0.841
715485483,3,0,0.419,1479,44,0.913
788912658,3,0,0.954,3144,62,0.722
711396483,3,0,0.834,4505,74,0.721
789220008,5,0,0.491,1425,27,1.077
716436483,4,0,0.554,2521,50,0.667
717661908,4,0,0.711,2681,55,0.618
778459833,3,2025,0.835,1789,42,1.471
769448658,5,0,0.565,3492,69,0.683
820346133,5,1334,0.375,4154,60,0.818
720119808,3,948,0.616,3342,52,0.677
721523658,4,772,0.979,3699,77,0.878
711176133,6,1015,1.04,3366,82,0.708
794560833,6,0,0.548,1913,34,0.308
718197108,5,0,0.431,1430,37,0.423
713750583,4,1125,0.911,2190,30,0.667
769576608,4,1010,0.869,3566,76,0.551
708626058,6,1465,1.025,4098,68,0.789
710333883,5,390,0.628,1905,42,0.448
715401633,3,2002,0.669,2111,38,0.462
755220783,5,1167,0.549,3576,77,0.791
789603183,4,0,0.806,3756,57,0.727
767564358,6,1008,0.484,3197,70,0.707
789744033,4,1007,0.987,3183,69,0.5
709887483,3,1420,0.529,3527,69,0.438
779765058,6,817,0.679,3817,70,0.489
789177333,6,1088,0.532,2104,40,0.739
717262833,5,2043,0.692,4345,69,0.468
714878508,3,535,0.681,2051,49,0.633
711079308,4,0,0.483,1884,33,0.435
794510358,6,0,0.816,3754,77,0.878
715033533,4,2517,0.73,4422,71,0.732
779400183,3,2517,0.868,2484,55,0.774
716636808,4,0,0.754,3572,55,0.667
708733983,6,2391,0.671,2122,46,0.394
710521383,6,1838,0.661,2247,41,0.64
720075558,6,0,0.889,3838,66,0.737
716468658,3,0,0.647,4101,80,0.702
717569283,3,1338,0.741,4252,70,0.591
787491483,5,1153,0.987,3455,80,0.702
779995833,6,1748,0.622,3557,64,0.939
714215058,5,0,0.962,4006,82,0.822
789407958,6,1153,0.578,4063,62,0.676
715118058,3,2100,0.584,5274,66,0.61
713672208,3,0,1.03,3342,76,0.462
720865383,4,1852,0.483,4437,50,1.0
713701533,4,1998,0.782,3578,71,0.775
778895883,5,0,0.62,4430,76,0.617
719655258,3,0,0.578,3412,72,0.674
711205758,1,0,1.492,2534,43,0.433
806264958,5,994,0.725,3211,69,0.725
714659133,2,0,0.586,2178,41,0.864
716425833,5,1229,0.427,1797,35,0.296
712166583,4,1468,0.627,3490,66,0.737
713124558,6,782,0.733,4249,75,0.5
714048783,6,2202,0.586,4072,72,0.6
708784908,5,2039,0.89,4435,88,0.796
714332658,5,1086,0.587,3896,65,0.757
719169783,3,640,1.052,2781,57,0.839
718270833,6,1580,0.864,4100,74,0.721
721268133,5,2109,0.993,3495,70,0.795
795343683,5,989,0.555,3935,76,0.52
715611933,6,2402,0.942,3632,62,0.676
711184983,6,0,0.808,3839,73,0.78
779601783,3,700,0.604,4364,88,0.517
784263558,4,0,1.0,3184,61,0.743
720795858,3,0,0.985,3456,72,0.636
756629133,3,0,0.734,2088,37,0.682
714387108,4,0,0.587,3481,51,0.5
712164333,3,1636,0.503,1758,51,0.457
714429258,4,0,1.02,3660,55,1.037
796791258,5,1791,1.048,4006,76,0.81
711220683,4,1813,0.623,3280,70,0.667
717582558,4,1185,0.725,3874,72,0.714
714779733,3,1586,0.907,2237,33,0.435
817965858,3,1785,0.735,3766,69,0.605
